Constituency,Party of incumbent before election,Party of incumbent before election2,Member returned,Party of incumbent after election,Party of incumbent after election2,Notes
Wirral South,,Labour,Alison McGovern,,Labour,Seat held
Wirral West,,Labour,Margaret Greenwood,,Labour,Seat held
Witham,,Conservative,Priti Patel,,Conservative,Seat held
Witney,,Conservative,Robert Courts,,Conservative,Seat held
Woking,,Conservative,Jonathan Lord,,Conservative,Seat held
Wokingham,,Conservative,John Redwood,,Conservative,Seat held
Wolverhampton North East,,Labour,Jane Stevenson,,Conservative,"Defeated incumbent, Emma Reynolds"
Wolverhampton South East,,Labour,Pat McFadden,,Labour,Seat held
Wolverhampton South West,,Labour,Stuart Anderson,,Conservative,"Defeated incumbent, Eleanor Smith"
Worcester,,Conservative,Robin Walker,,Conservative,Seat held
Workington,,Labour,Mark Jenkinson,,Conservative,"Defeated incumbent, Sue Hayman"
Worsley and Eccles South,,Labour,Barbara Keeley,,Labour,Seat held
Worthing West,,Conservative,Peter Bottomley,,Conservative,Seat held
Wrexham,,Labour,Sarah Atherton,,Conservative,"Previous incumbent, Ian Lucas, did not stand"
Wycombe,,Conservative,Steven Baker,,Conservative,Seat held
Wyre and Preston North,,Conservative,Ben Wallace,,Conservative,Seat held
Wyre Forest,,Conservative,Mark Garnier,,Conservative,Seat held
Wythenshawe and Sale East,,Labour,Mike Kane,,Labour,Seat held
Yeovil,,Conservative,Marcus Fysh,,Conservative,Seat held
Ynys Môn,,Labour,Virginia Crosbie,,Conservative,"Previous incumbent, Albert Owen, did not stand"
York Central,,Labour Co-operative,Rachael Maskell,,Labour Co-operative,Seat held
York Outer,,Conservative,Julian Sturdy,,Conservative,Seat held
Source:,Source:,Source:,Source:,Source:,Source:,
